pdf_path	top_candidates(fid|name|score)
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Sahu, Sounak/Sahu Dev Cell_anonymous.pdf	intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3; intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|3; intake_dimitris_placantonakis|Dimitris Placantonakis|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Sahu, Sounak/SahuiScience_anonymous.pdf	intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3; intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|3; intake_dimitris_placantonakis|Dimitris Placantonakis|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Sahu, Sounak/journal.pgen.1010940_anonymous.pdf	intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3; intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|3; intake_dimitris_placantonakis|Dimitris Placantonakis|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Sahu, Sounak/s41586-024-08349-1 (1)_anonymous.pdf	intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3; intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|3; intake_dimitris_placantonakis|Dimitris Placantonakis|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Sahu, Sounak/s41598-022-11224-6_anonymous.pdf	intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3; intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|3; intake_dimitris_placantonakis|Dimitris Placantonakis|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Wilson, Elaine/Burger et al Prostate stem cell phenotype PNAS .pdf	intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|15; micro_angus_c_wilson|Angus C. Wilson, PhD|12; intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Wilson, Elaine/Salm et al TGF-ß regulates prostate stem niche JCB 2005.pdf	intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|15; micro_angus_c_wilson|Angus C. Wilson, PhD|12; intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Wilson, Elaine/Tassone Oncogene 2019_anonymous.pdf	intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|15; micro_angus_c_wilson|Angus C. Wilson, PhD|12; intake_jonathan_so|Jonathan So|8; intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Wilson, Elaine/Tsujimura et al Proximal location of prostate stem cells JCB.pdf	intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|15; micro_angus_c_wilson|Angus C. Wilson, PhD|12; intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Cell Biology/Wilson, Elaine/Xiong KLF4 2018_anonymous.pdf	intake_elaine_lyn_wilson|Elaine (Lyn) Wilson|15; micro_angus_c_wilson|Angus C. Wilson, PhD|12; intake_catherine_pei_ju_lu|Catherine Pei-ju Lu|3; intake_esteban_o_mazzoni|esteban o mazzoni|3; intake_hyung_don_ryoo|Hyung Don Ryoo|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Center for Human Genetics and Genomics/Mostafavi, Hakham/PIIS000292972200252X_anonymous.pdf	intake_hakhamanesh_mostafavi|Hakhamanesh Mostafavi|12; intake_nadav_brandes|Nadav Brandes|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Center for Human Genetics and Genomics/Mostafavi, Hakham/elife-48376-v2_anonymous.pdf	intake_hakhamanesh_mostafavi|Hakhamanesh Mostafavi|12; intake_nadav_brandes|Nadav Brandes|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Center for Human Genetics and Genomics/Mostafavi, Hakham/s41586-025-09703-7_anonymous.pdf	intake_hakhamanesh_mostafavi|Hakhamanesh Mostafavi|12; intake_nadav_brandes|Nadav Brandes|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Center for Human Genetics and Genomics/Mostafavi, Hakham/s41588-023-01529-1_anonymous.pdf	intake_hakhamanesh_mostafavi|Hakhamanesh Mostafavi|12; intake_nadav_brandes|Nadav Brandes|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Center for Human Genetics and Genomics/Mostafavi, Hakham/s41588-024-01820-9_anonymous.pdf	intake_hakhamanesh_mostafavi|Hakhamanesh Mostafavi|12; intake_nadav_brandes|Nadav Brandes|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ISG/Paolo, Mita/SUBMITTED_anonymous.pdf	micro_jeffrey_n_weiser|Jeffrey N. Weiser, MD|3; intake_jef_d_boeke|Jef D. Boeke|3; intake_ran_brosh|Ran Brosh|3; intake_liam_holt|Liam Holt|3; intake_paolo_mita|Paolo Mita|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ISG/Paolo, Mita/elife-30058-v2_anonymous.pdf	micro_jeffrey_n_weiser|Jeffrey N. Weiser, MD|3; intake_jef_d_boeke|Jef D. Boeke|3; intake_ran_brosh|Ran Brosh|3; intake_liam_holt|Liam Holt|3; intake_paolo_mita|Paolo Mita|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ISG/Paolo, Mita/s41594-020-0374-z_anonymous.pdf	micro_jeffrey_n_weiser|Jeffrey N. Weiser, MD|3; intake_jef_d_boeke|Jef D. Boeke|3; intake_ran_brosh|Ran Brosh|3; intake_liam_holt|Liam Holt|3; intake_paolo_mita|Paolo Mita|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Duerr, Ralf/DeVries et al., NatProtocols 2023oct_Generati_anonymous.pdf	micro_ralf_duerr|Ralf Duerr, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Duerr, Ralf/Kottkamp et al., NEJM 2023dec_mpox immunity a_anonymous.pdf	micro_ralf_duerr|Ralf Duerr, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3; micro_k_heran_darwin|K. Heran Darwin, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Medicine/Duerr, Ralf/Oom et al., JVI 2025mar_The two-dose MVA-BN m_anonymous.pdf	micro_ralf_duerr|Ralf Duerr, MD, PhD|12; intake_aravinda_chakravarti|Aravinda Chakravarti|3
