faculty_id	name	pdf_path	score	reasons
intake_pau_castel	Pau Castel	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Castel, Pau/Cuevas-Navarro_Wagner_Science_Adv_2023_anonymous.pdf	15	folder:last,topfolder~aff
intake_pau_castel	Pau Castel	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Castel, Pau/Cuevas-Navarro_eLife_2022_anonymous.pdf	15	folder:last,topfolder~aff
intake_pau_castel	Pau Castel	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Castel, Pau/Mozzarelli_MolCell_2024_anonymous.pdf	15	folder:last,topfolder~aff
intake_pau_castel	Pau Castel	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Castel, Pau/can-24-3819 (1)_anonymous.pdf	15	folder:last,topfolder~aff
intake_pau_castel	Pau Castel	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Castel, Pau/science.adv7088 (1)_anonymous.pdf	15	folder:last,topfolder~aff
intake_gregory_david	Gregory David	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/David, Gregory/1-s2.0-S0959437X22000235-main_anonymous.pdf	15	folder:last,topfolder~aff
intake_gregory_david	Gregory David	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/David, Gregory/MCB.00586-18_anonymous.pdf	15	folder:last,topfolder~aff
intake_gregory_david	Gregory David	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/David, Gregory/s13072-024-00526-w_anonymous.pdf	15	folder:last,topfolder~aff
intake_gregory_david	Gregory David	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/David, Gregory/s41388-022-02433-4_anonymous.pdf	15	folder:last,topfolder~aff
intake_gregory_david	Gregory David	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/David, Gregory/s41556-019-0287-4_anonymous.pdf	15	folder:last,topfolder~aff
intake_drew_jones	Drew Jones	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Jones, Drew/PIIS193131282500232X_anonymous.pdf	15	folder:last,topfolder~aff
intake_drew_jones	Drew Jones	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Jones, Drew/s41586-025-08996-y_anonymous.pdf	15	folder:last,topfolder~aff
intake_drew_jones	Drew Jones	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Jones, Drew/s43018-023-00647-3_anonymous.pdf	15	folder:last,topfolder~aff
intake_drew_jones	Drew Jones	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Jones, Drew/sciadv.adj4387_anonymous.pdf	15	folder:last,topfolder~aff
intake_drew_jones	Drew Jones	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Jones, Drew/viruses-15-00242-v2_anonymous.pdf	15	folder:last,topfolder~aff
intake_michele_pagano	Michele Pagano	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Pagano, Michele/BACH1 FBXO22 FBXL17_anonymous.pdf	15	folder:last,topfolder~aff
intake_michele_pagano	Michele Pagano	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Pagano, Michele/CycD MMR_anonymous.pdf	15	folder:last,topfolder~aff
intake_michele_pagano	Michele Pagano	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Pagano, Michele/D1 DCAF3_anonymous.pdf	15	folder:last,topfolder~aff
intake_michele_pagano	Michele Pagano	/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Biochem/Pagano, Michele/EMSY_anonymous.pdf	15	folder:last,topfolder~aff
